,Schwierigkeit n,inverse Schwierigkeit 1/n,,,Intelligenz
1,Komplexität,,,,
2,Kristallin,,,,
3,Abstrakt,,,,
4,Komplexitätsklasse wie PNP oder linear oder polynomial etc.,,,,
5,kodierung,dekodierung,,,
6,"compilieren, interpretieren",dissambler,,,
7,transcompilieren,,,,
8,"Chomsky Hierarchie Tabellarisch, beliebig dimensional, z.B. Computerwissenschaft vs. Linguistik vs. Ingeneurswissenschaten vs. Mathematik, usw.",,,,
9,,,,,
10,,,,,
11,,,,,
12,komplex strukturelle Übersichten wie über Chomsky-Hierrachie,,,,