,Schwierigkeit n,inverse Schwierigkeit 1/n,,,"Intelligenz n, allgemeine Intelligenz n",1/n,,17_17_10m11=Kognition
1,Komplexität,,,,allgemeine Intelligenz,allgemeine Schwierigkeit,,
2,Kristallin oder Komplex,,,,Komplexität Intelligenz,,,
3,Abstrakt,,,,Abstraktionsvermögen,,,
4,Kristallin und oder Komplexitätsklasse wie PNP oder linear oder polynomial etc.,,,,,,,
5,kodierung,dekodierung,,,Kodierungsintelligenz Programmierer Intelligenz,,,
6,"compilieren, interpretieren",dissambler,,,"InterpretationsIntelligenz, IQ, Intelligenzquotient",,,
7,transcompilieren,,,,emotionale Intelligenz,,,
8,"Komplexitätsklassen im Verhältnis, anfänglich Chomsky Hierarchie Tabellarisch, beliebig dimensional, z.B. Computerwissenschaft vs. Linguistik vs. Ingeneurswissenschaten vs. Mathematik, usw.",,,,,,,
9,Sudokuprinzip,,,,"Constraint Programmierung Intelligenz, Bildung",,,
10,,,,,soziale Intelligenz,,,
11,,,,,"die Intelligenzen, die Intelligenzen der allgemeinen Intelligenz",,,
12,komplex strukturelle Übersichten wie über Chomsky-Hierrachie,,,,über andere ihre soziale Intelligenzen Intelligenz,,,
,,,,,StimmungsIntelligenz oder viele Emotionen zusammen als Intelligenz,,,
,,,,,,,,
,,,,,,,,
,,,,,allgemeine Intelligenz,,,
,,,,,,,,
,,,,,anderer ihrere Intelligenzen Intelligenz allgemeiner Art,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,spezielle Intelligenz,,,
,,,,,,,,
,,,,,spezielle Intelligenzen anderer Intelligenz,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,Tiefenintelligenz,,,
,,,,,,,,
,,,,,Tiefe Denkart anderer Intelligenz,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,Intelligenz der Motive Triebe Antriebe Motor anderer,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,soziale Intelligenz,,,
,,,,,,,,
,,,,,fremde Gruppen anderer soziale Intelligenz,,,