,16,Kommunikation,Layer Network,,,,Strukturwissenschaften,,Musterwissenschaften alias Ingenieurswissenschaften
1,Eingabe Verarbeitung Ausgabe,vorhanden,,,,,,,
2,"mathematische Objekte, Bewusstsein",initialisieren,,Entscheidbarkeit,,,,,
3,Materie,empfangen,,"wie sinus, cosinus, logistische Funktion, tangens, ax³+bx²+cx+d",,,,,
4,Energie,senden-zero-lateral,,,,,,,
5,Physik,bidirektional-unilateral,,,,,Zählen,,
6,"Geisteswissenschaftlicher Geist, Kosmos, Spirit, Mind",multilateral-telefonzentrale,,,,,,,
7,Kommunikation,"inter-multilateral-physischer33-34-raum-und-virtueller35-36-raum, LAN, Wifi, Internet, Bluetooth",,,,,Rechnen,,
8,Meta-Physik,Planeten-Teamwork,Session,,,,Spezialmaschinen wie Kryptographiemaschinen als Schritt zwischen Programmierbarer Rechenmaschine und Rechenmaschine,,
9,Transzendenz,,Präsentation,,,,Mathematik,,Computerwissenschaft
10,Strukturwissenschaft wie Mathe,,,,,,Systemtheorie,,Robotik
11,"Quanten-Verschränkung, Qunatum-Entagelment",,,,,,Kybernetik,,Cyborg-Wissenschaft
12,Strahlung,,,,,,autonome Systeme,,autonome Maschinen
13,Signale,,,,,,,,Schwarmintelligenz
14,Sprechen,,,,,,,,künstliches Leben statt künstliche Intelligenz
15,Chemie,,,,,,,,"Arbeitsmaschine, Kommunkationsmaschine, etc."
16,Meta-Chemie alias Alchemie,,,,,,,,
17,,,,,,,,,
18,,,,,,,,,
19,,,,,,,,,
20,Musterwissenschaft bzw. Ingenieurswissenschaft wie Computerwissenschaft,,,,,,,,
21,Texten,,,,,,,,
22,,,,,,,,,
23,,,,,,,,,
24,,,,,,,,,
25,,,,,,,,,
26,,,,,,,,,
27,,,,,,,,,
28,Rufen,,,,,,,,
29,,,,,,,,,
30,,,,,,,,,
31,,,,,,,,,
32,,,,,,,,,
33,,,,,,,,,
34,,,,,,,,,
35,,,,,,,,,
36,,,,,,,,,
37,,,,,,,,,
38,,,,,,,,,
39,,,,,,,,,
40,,,,,,,,,
41,,,,,,,,,
42,,,,,,,,,
43,,,,,,,,,
44,,,,,,,,,
45,,,,,,,,,
46,,,,,,,,,
47,,,,,,,,,
48,,,,,,,,,
49,,,,,,,,,
50,,,,,,,,,